,Perf,Perf,Expe,Expe
Player,Gls,Ast,xG,xA
,,,,
Bernd Leno,0,0,0,0
Shkodran Mustafi,2,0,1.5,0.5
Pierre-Emerick Aubameyang,22,5,20.1,4.2
Granit Xhaka,4,2,1.5,3.5
Alexandre Lacazette,13,8,12.3,3.3
Sokratis Papastathopoulos,1,2,0.9,0.5
Lucas Torreira,2,2,1.5,1.2
Mattéo Guendouzi,0,0,0.4,2.2
Alex Iwobi,3,6,3.3,6.1
Sead Kolašinac,0,5,0.5,5.2
Nacho Monreal,1,3,1,1.4
Mesut Özil,5,2,1.7,5.6
Henrikh Mkhitaryan,6,4,4.8,4.5
Héctor Bellerín,0,5,1.1,2
Aaron Ramsey,4,6,3.2,2.2
Laurent Koscielny,3,0,1.6,0.1
Ainsley Maitland-Niles,1,1,1,1.2
Stephan Lichtsteiner,0,0,0,0
Rob Holding,0,0,0,0.1
Petr Čech,0,0,0,0
Mohamed Elneny,0,0,0.6,0.2
Konstantinos Mavropanos,0,0,0,0.2
Carl Jenkinson,0,0,0,0
Danny Welbeck,1,1,0.7,0.8
Joe Willock,0,0,0.1,0
Denis Suárez,0,0,0,0
Eddie Nketiah,1,0,0.2,0.1
Bukayo Saka,0,0,0,0
