,Perf,Perf,Expe,Expe
Player,Gls,Ast,xG,xA
,,,,
Granit Xhaka,1,7,2.2,4
Héctor Bellerín,2,3,2.6,3.6
Petr Čech,0,0,0,0
Nacho Monreal,5,2,2.1,1.5
Alexandre Lacazette,14,4,12.7,4.1
Shkodran Mustafi,3,1,0.9,0.4
Laurent Koscielny,2,0,1.9,0.5
Sead Kolašinac,2,4,2.3,3.4
Mesut Özil,4,8,4.2,7.4
Alex Iwobi,3,5,3.6,3.6
Aaron Ramsey,7,8,6.2,4.8
Alexis Sánchez,7,3,7.3,6.2
Danny Welbeck,5,2,5.2,1.4
Jack Wilshere,1,3,1.1,2.6
Pierre-Emerick Aubameyang,10,4,9,1.2
Mohamed Elneny,0,1,0.4,1
Calum Chambers,0,0,1,0.1
Rob Holding,0,0,0.3,0.1
Henrikh Mkhitaryan,2,4,1.7,2.7
Ainsley Maitland-Niles,0,0,0.3,0.9
David Ospina,0,0,0,0
Per Mertesacker,1,0,0.2,0
Alex Oxlade-Chamberlain,0,0,0.3,0.5
Konstantinos Mavropanos,0,0,0,0
Reiss Nelson,0,0,0.1,0
Olivier Giroud,4,1,3.4,1.1
Francis Coquelin,0,0,0.1,0.2
Joe Willock,0,0,0.3,0
Theo Walcott,0,0,0,0
Eddie Nketiah,0,1,0.1,0
