Player,Gls,Ast,xG,xA
Pierre-Emerick Aubameyang,22,3,15.8,2.9
David Luiz,2,1,1.9,0.9
Bernd Leno,0,0,0,0
Granit Xhaka,1,2,0.3,1.1
Nicolas Pépé,5,6,4.5,4.4
Alexandre Lacazette,10,4,8.5,3.1
Bukayo Saka,1,5,1.3,3.5
Mattéo Guendouzi,0,1,0.6,1.2
Sead Kolašinac,0,2,0.7,1
Sokratis Papastathopoulos,2,0,1,0.2
Dani Ceballos,0,2,0.5,1.9
Mesut Özil,1,2,1.3,2.2
Lucas Torreira,1,1,1.6,1.1
Ainsley Maitland-Niles,0,2,0.3,1.5
Shkodran Mustafi,0,1,0.8,0
Héctor Bellerín,1,0,0.5,0.3
Calum Chambers,1,1,0.7,0.7
Kieran Tierney,1,1,0.3,1.1
Joe Willock,1,1,2.3,0.8
Emiliano Martínez,0,0,0,0
Eddie Nketiah,2,0,3.1,0.6
Reiss Nelson,1,0,0.9,0.7
Martinelli,3,0,2.3,0.3
Rob Holding,0,0,0.1,0
Nacho Monreal,0,0,0.1,0.3
Cédric Soares,1,0,0,0
,,,,
,,,,
,,,,
,,,,
