,Perf,Perf,Expe,Expe
Player,Gls,Ast,xG,xA
,,,,
Mason Mount,6,5,6.8,7.8
Edouard Mendy,0,0,0,0
Timo Werner,6,8,11.9,6.1
Ben Chilwell,3,5,2.4,2.8
Reece James,1,2,1.6,3
César Azpilicueta,1,2,0.8,2.6
N'Golo Kanté,0,2,0.9,1.1
Jorginho,7,1,7,2.1
Thiago Silva,2,0,1.1,0.3
Kurt Zouma,5,0,1.8,0
Mateo Kovačić,0,1,1,1.8
Antonio Rüdiger,1,0,1.1,0.3
Christian Pulisic,4,2,5.4,2.8
Kai Havertz,4,3,6.3,1.6
Andreas Christensen,0,0,0.1,0.4
Hakim Ziyech,2,3,1.9,3.7
Tammy Abraham,6,1,6.4,0.9
Marcos Alonso,2,0,1.7,1.1
Callum Hudson-Odoi,2,3,1.4,3.1
Olivier Giroud,4,0,4.8,0.7
Kepa Arrizabalaga,0,0,0,0
Billy Gilmour,0,0,0,0.1
Willy Caballero,0,0,0,0
Ruben Loftus-Cheek,0,0,0,0
Emerson Palmieri,0,0,0,0
Fikayo Tomori,0,0,0,0
Ross Barkley,0,0,0,0.1
Squad Total,56,38,64,42.4
Opponent Total,35,26,32.8,22
