,Perf,Perf,Expe,Expe
Player,Gls,Ast,xG,xA
,,,,
César Azpilicueta,1,5,0.8,2.5
Jorginho,2,0,1.5,3.2
Kepa Arrizabalaga,0,0,0,0
David Luiz,3,2,2,2
N'Golo Kanté,4,4,2.4,4
Antonio Rüdiger,1,0,1.8,0.4
Eden Hazard,16,15,11.4,9.4
Marcos Alonso,2,4,2.7,3.5
Willian,3,6,4.8,5.9
Pedro,8,2,6.5,2.7
Mateo Kovačić,0,2,1.8,2.4
Ross Barkley,3,5,3.8,2
Gonzalo Higuaín,5,0,5.3,1.1
Álvaro Morata,5,0,6.5,0.2
Olivier Giroud,2,4,3.6,2.3
Emerson Palmieri,0,0,0.2,0.6
Ruben Loftus-Cheek,6,2,2.9,1.5
Andreas Christensen,0,0,0,0
Callum Hudson-Odoi,0,1,0.7,1
Willy Caballero,0,0,0,0
Cesc Fàbregas,0,0,0.1,0.3
Davide Zappacosta,0,0,0.1,0.1
Victor Moses,0,0,0,0
Gary Cahill,0,0,0,0
