,Perf,Perf,Expe,Expe
Player,Gls,Ast,xG,xA
,,,,
Virgil van Dijk,5,1,2.9,1.3
Trent Alexander-Arnold,4,13,2.8,9.9
Georginio Wijnaldum,4,0,3.1,1.2
Andrew Robertson,2,12,1.6,7.6
Roberto Firmino,9,8,13.5,6.3
Mohamed Salah,19,10,19.4,7.3
Sadio Mané,18,7,13.8,7.3
Alisson,0,1,0,0.5
Jordan Henderson,4,5,1.4,2.8
Fabinho,2,3,0.4,1.8
Joe Gomez,0,0,0,0.2
Alex Oxlade-Chamberlain,4,1,2.9,1.2
James Milner,2,2,2.1,0.7
Adrián,0,0,0,0
Naby Keïta,2,3,1.5,2.3
Dejan Lovren,0,1,0.3,0.4
Joël Matip,1,0,0.3,0
Divock Origi,4,1,2.2,0.2
Adam Lallana,1,1,1.1,0.7
Neco Williams,0,0,0.3,0.1
Takumi Minamino,0,0,1.4,0
Xherdan Shaqiri,1,0,0.6,0.2
Curtis Jones,1,0,0.9,0
Harvey Elliot,0,0,0,0
