,Perf,Perf,Expe,Expe
Player,Gls,Ast,xG,xA
,,,,
Ederson,0,1,0,0.4
Rúben Dias,1,0,2.4,0.1
Rodri,2,2,2.5,1.7
Raheem Sterling,10,7,12.2,4.8
João Cancelo,2,3,2,4.9
Bernardo Silva,2,6,2.8,3.7
İlkay Gündoğan,13,2,9,4.5
Kevin De Bruyne,6,12,9.7,10.2
Riyad Mahrez,9,6,5.6,5.9
Gabriel Jesus,9,4,8.8,3.4
Kyle Walker,1,1,0.2,0.5
John Stones,4,0,2.2,0.1
Phil Foden,9,5,5.5,4.1
Oleksandr Zinchenko,0,0,0.7,1.3
Ferrán Torres,7,2,5.4,1.9
Aymeric Laporte,0,0,0.8,0.7
Fernandinho,0,2,0.8,0.9
Benjamin Mendy,2,1,0.4,0.4
Nathan Aké,1,0,0.1,0
Sergio Agüero,4,1,3.4,1.3
Eric García,0,0,0.1,0.1
Scott Carson,0,0,0,0
Zack Steffen,0,0,0,0
Liam Delap,0,0,0,0
