,Perf,Perf,Expe,Expe
Player,Gls,Ast,xG,xA
,,,,
Bruno Fernandes,18,12,15.4,11
Aaron Wan-Bissaka,2,4,0.9,2.4
Harry Maguire,2,1,2.1,0.3
Marcus Rashford,11,9,9.3,3.6
Luke Shaw,1,5,0.7,5.2
Victor Lindelöf,1,1,0.7,0.7
Fred,1,0,1.9,2.5
David de Gea,0,0,0,0
Scott McTominay,4,1,2.1,0.9
Paul Pogba,3,3,2.1,2.1
Mason Greenwood,7,2,7.4,1.8
Anthony Martial,4,3,6.5,2
Edinson Cavani,10,3,7.4,2.7
Dean Henderson,0,0,0,0
Nemanja Matić,0,0,0.3,0.4
Daniel James,3,1,2.3,1.2
Eric Bailly,0,0,0.1,0
Alex Telles,0,2,0.2,1.1
Juan Mata,1,2,1.1,0.8
Donny van de Beek,1,1,0.3,1
Axel Tuanzebe,0,0,0,0
Brandon Williams,0,0,0.1,0
Amad Diallo,0,1,0,0.5
Anthony Elanga,1,0,0.3,0
Timothy Fosu-Mensah,0,0,0,0.3
Shola Shoretire,0,0,0,0
Odion Ighalo,0,0,0,0
Hannibal Mejbri,0,0,0,0
William Thomas Fish,0,0,0,0
