,Perf,Perf,Expe,Expe
Player,Gls,Ast,xG,xA
,,,,
David de Gea,0,0,0,0
Harry Maguire,1,1,2,0.6
Victor Lindelöf,1,0,0.4,0.3
Aaron Wan-Bissaka,0,4,0.9,2.9
Marcus Rashford,17,7,17.3,4.6
Anthony Martial,17,6,10.9,4.1
Daniel James,3,6,3.6,4
Fred,0,0,2,2.5
Scott McTominay,4,1,1.5,0.7
Luke Shaw,0,0,0.5,1.5
Nemanja Matić,0,2,0.2,1.2
Andreas Pereira,1,3,2.3,3.8
Bruno Fernandes,8,7,5.8,2.5
Paul Pogba,1,3,2,2.7
Mason Greenwood,10,1,3.6,0.7
Brandon Williams,1,0,0.7,0.6
Ashley Young,0,0,0.1,1.2
Jesse Lingard,1,0,2.7,0.9
Juan Mata,0,2,1.1,2
Axel Tuanzebe,0,0,0,0
Timothy Fosu-Mensah,0,0,0.1,0.1
Phil Jones,0,0,0.2,0
Eric Bailly,0,0,0,0
Marcos Rojo,0,0,0.1,0
Diogo Dalot,0,0,0.2,0
Odion Ighalo,0,0,1.5,0.1
Tahith Chong,0,0,0.1,0
Angel Gomes,0,0,0,0.1
James Garner,0,0,0,0
