,Perf,Perf,Expe,Expe
Player,Gls,Ast,xG,xA
,,,,
David de Gea,0,0,0,0.1
Nemanja Matić,1,1,0.7,1.9
Romelu Lukaku,16,7,15.2,5
Antonio Valencia,3,1,0.6,1.7
Chris Smalling,4,0,2.6,0.5
Ashley Young,2,4,0.7,3.8
Paul Pogba,6,10,6.6,4.5
Phil Jones,0,0,0.4,0
Juan Mata,3,5,3.5,4.9
Jesse Lingard,8,5,8.4,3.5
Anthony Martial,9,5,6.9,5.7
Marcus Rashford,7,5,6.3,3.3
Victor Lindelöf,0,0,0,0.4
Ander Herrera,0,2,0.7,1.1
Alexis Sánchez,2,3,3.7,2.4
Eric Bailly,1,0,1,0.3
Henrikh Mkhitaryan,1,5,1.3,3.5
Luke Shaw,0,0,0.4,0.3
Marcos Rojo,0,0,0.1,0
Scott McTominay,0,0,0,0
Marouane Fellaini,4,0,2.1,0.1
Matteo Darmian,0,0,0,0.1
Daley Blind,0,0,0.1,0.4
Michael Carrick,0,0,0.2,0.1
Zlatan Ibrahimović,0,0,0.2,0.1
Sergio Romero,0,0,0,0
Axel Tuanzebe,0,0,0,0
