,Perf,Perf,Expe,Expe
Player,Gls,Ast,xG,xA
,,,,
Christian Eriksen,10,10,6.8,12.3
Hugo Lloris,0,0,0,0
Jan Vertonghen,0,0,1.1,0.9
Harry Kane,30,2,25.4,2.8
Dele Alli,9,10,9,7.7
Eric Dier,0,2,2,1.8
Davinson Sánchez,0,0,0.8,0.1
Son Heung-min,12,6,10.3,4.8
Ben Davies,2,6,1.1,3.5
Kieran Trippier,0,5,0.3,3.5
Mousa Dembélé,0,0,0.5,0.8
Serge Aurier,2,2,0.7,1.9
Moussa Sissoko,1,1,3.3,2.7
Toby Alderweireld,0,0,0.4,0.3
Danny Rose,0,1,0.8,0.8
Harry Winks,0,1,0.1,0.7
Victor Wanyama,1,0,0.5,0.1
Érik Lamela,2,2,3.6,1.6
Lucas Moura,0,1,0.2,0.2
Kyle Walker-Peters,0,2,0,1.5
Fernando Llorente,1,0,0.9,0.5
Paulo Gazzaniga,0,0,0,0
Michel Vorm,0,0,0,0
Vincent Janssen,0,0,0,0
Georges-Kévin N'Koudou,0,0,0,0
