Player,Gls,Ast,xG,xA,Season
Bernd Leno,0,0,0,0,20/21
Bukayo Saka,5,3,6.9,4.7,20/21
Granit Xhaka,1,2,0.8,1.6,20/21
Rob Holding,0,1,1.1,0.2,20/21
Pierre-Emerick Aubameyang,10,3,10.6,2.8,20/21
Kieran Tierney,1,3,0.4,4.1,20/21
Héctor Bellerín,1,2,0.8,2.4,20/21
Gabriel Dos Santos,2,0,1,0.1,20/21
Alexandre Lacazette,13,2,9.7,2.7,20/21
Thomas Partey,0,2,1.3,1,20/21
Emile Smith-Rowe,2,4,2,3,20/21
Dani Ceballos,0,3,0.7,2.9,20/21
Mohamed Elneny,1,0,0.5,0.2,20/21
David Luiz,1,0,0.9,0.4,20/21
Nicolas Pépé,10,1,7,0.9,20/21
Willian,1,5,2.1,2.5,20/21
Pablo Marí,0,0,0,0,20/21
Martin Ødegaard,1,2,1.1,2.1,20/21
Calum Chambers,0,2,0.6,1.1,20/21
Cédric Soares,0,1,0.2,0.9,20/21
Martinelli,2,1,3.4,2.1,20/21
Ainsley Maitland-Niles,0,0,0.1,0.2,20/21
Eddie Nketiah,2,1,2.4,0.8,20/21
Mathew Ryan,0,0,0,0,20/21
Joe Willock,0,0,0.4,0,20/21
Sead Kolašinac,0,0,0,0,20/21
Reiss Nelson,0,0,0,0,20/21
Shkodran Mustafi,0,0,0,0,20/21
Rúnar Alex Rúnarsson,0,0,0,0,20/21
Pierre-Emerick Aubameyang,22,3,15.8,2.9,19/20
David Luiz,2,1,1.9,0.9,19/20
Bernd Leno,0,0,0,0,19/20
Granit Xhaka,1,2,0.3,1.1,19/20
Nicolas Pépé,5,6,4.5,4.4,19/20
Alexandre Lacazette,10,4,8.5,3.1,19/20
Bukayo Saka,1,5,1.3,3.5,19/20
Mattéo Guendouzi,0,1,0.6,1.2,19/20
Sead Kolašinac,0,2,0.7,1,19/20
Sokratis Papastathopoulos,2,0,1,0.2,19/20
Dani Ceballos,0,2,0.5,1.9,19/20
Mesut Özil,1,2,1.3,2.2,19/20
Lucas Torreira,1,1,1.6,1.1,19/20
Ainsley Maitland-Niles,0,2,0.3,1.5,19/20
Shkodran Mustafi,0,1,0.8,0,19/20
Héctor Bellerín,1,0,0.5,0.3,19/20
Calum Chambers,1,1,0.7,0.7,19/20
Kieran Tierney,1,1,0.3,1.1,19/20
Joe Willock,1,1,2.3,0.8,19/20
Emiliano Martínez,0,0,0,0,19/20
Eddie Nketiah,2,0,3.1,0.6,19/20
Reiss Nelson,1,0,0.9,0.7,19/20
Martinelli,3,0,2.3,0.3,19/20
Rob Holding,0,0,0.1,0,19/20
Nacho Monreal,0,0,0.1,0.3,19/20
Cédric Soares,1,0,0,0,19/20
Bernd Leno,0,0,0,0,18/19
Shkodran Mustafi,2,0,1.5,0.5,18/19
Pierre-Emerick Aubameyang,22,5,20.1,4.2,18/19
Granit Xhaka,4,2,1.5,3.5,18/19
Alexandre Lacazette,13,8,12.3,3.3,18/19
Sokratis Papastathopoulos,1,2,0.9,0.5,18/19
Lucas Torreira,2,2,1.5,1.2,18/19
Mattéo Guendouzi,0,0,0.4,2.2,18/19
Alex Iwobi,3,6,3.3,6.1,18/19
Sead Kolašinac,0,5,0.5,5.2,18/19
Nacho Monreal,1,3,1,1.4,18/19
Mesut Özil,5,2,1.7,5.6,18/19
Henrikh Mkhitaryan,6,4,4.8,4.5,18/19
Héctor Bellerín,0,5,1.1,2,18/19
Aaron Ramsey,4,6,3.2,2.2,18/19
Laurent Koscielny,3,0,1.6,0.1,18/19
Ainsley Maitland-Niles,1,1,1,1.2,18/19
Stephan Lichtsteiner,0,0,0,0,18/19
Rob Holding,0,0,0,0.1,18/19
Petr Čech,0,0,0,0,18/19
Mohamed Elneny,0,0,0.6,0.2,18/19
Konstantinos Mavropanos,0,0,0,0.2,18/19
Carl Jenkinson,0,0,0,0,18/19
Danny Welbeck,1,1,0.7,0.8,18/19
Joe Willock,0,0,0.1,0,18/19
Denis Suárez,0,0,0,0,18/19
Eddie Nketiah,1,0,0.2,0.1,18/19
Bukayo Saka,0,0,0,0,18/19
Granit Xhaka,1,7,2.2,4,17/18
Héctor Bellerín,2,3,2.6,3.6,17/18
Petr Čech,0,0,0,0,17/18
Nacho Monreal,5,2,2.1,1.5,17/18
Alexandre Lacazette,14,4,12.7,4.1,17/18
Shkodran Mustafi,3,1,0.9,0.4,17/18
Laurent Koscielny,2,0,1.9,0.5,17/18
Sead Kolašinac,2,4,2.3,3.4,17/18
Mesut Özil,4,8,4.2,7.4,17/18
Alex Iwobi,3,5,3.6,3.6,17/18
Aaron Ramsey,7,8,6.2,4.8,17/18
Alexis Sánchez,7,3,7.3,6.2,17/18
Danny Welbeck,5,2,5.2,1.4,17/18
Jack Wilshere,1,3,1.1,2.6,17/18
Pierre-Emerick Aubameyang,10,4,9,1.2,17/18
Mohamed Elneny,0,1,0.4,1,17/18
Calum Chambers,0,0,1,0.1,17/18
Rob Holding,0,0,0.3,0.1,17/18
Henrikh Mkhitaryan,2,4,1.7,2.7,17/18
Ainsley Maitland-Niles,0,0,0.3,0.9,17/18
David Ospina,0,0,0,0,17/18
Per Mertesacker,1,0,0.2,0,17/18
Alex Oxlade-Chamberlain,0,0,0.3,0.5,17/18
Konstantinos Mavropanos,0,0,0,0,17/18
Reiss Nelson,0,0,0.1,0,17/18
Olivier Giroud,4,1,3.4,1.1,17/18
Francis Coquelin,0,0,0.1,0.2,17/18
Joe Willock,0,0,0.3,0,17/18
Theo Walcott,0,0,0,0,17/18
Eddie Nketiah,0,1,0.1,0,17/18
César Azpilicueta,2,6,1.4,3,17/18
Thibaut Courtois,0,0,0,0,17/18
N'Golo Kanté,1,1,0.8,2.5,17/18
Marcos Alonso,7,2,4.2,2.7,17/18
Eden Hazard,12,4,8.5,7.9,17/18
Antonio Rüdiger,2,1,1.6,0.5,17/18
Cesc Fàbregas,2,4,2.7,6.8,17/18
Victor Moses,3,3,3.3,2.8,17/18
Tiemoué Bakayoko,2,2,3.5,0.6,17/18
Gary Cahill,0,0,0.4,0.1,17/18
Álvaro Morata,11,6,12.8,3.2,17/18
Andreas Christensen,0,0,0.9,0.2,17/18
Willian,6,7,5.2,6,17/18
Pedro,4,2,4.3,1.5,17/18
Davide Zappacosta,1,1,1.2,1.4,17/18
David Luiz,1,0,0.7,0.1,17/18
Olivier Giroud,3,1,4.5,1.9,17/18
Danny Drinkwater,1,0,0.2,0.1,17/18
Michy Batshuayi,2,1,0.8,0.2,17/18
Emerson Palmieri,0,1,0.2,0.1,17/18
Willy Caballero,0,0,0,0,17/18
Ross Barkley,0,0,0.5,0.1,17/18
Jeremie Boga,0,0,0,0,17/18
Charly Musonda Jr.,0,0,0.2,0.5,17/18
Callum Hudson-Odoi,0,0,0,0,17/18
Ethan Ampadu,0,0,0,0,17/18
César Azpilicueta,1,5,0.8,2.5,18/19
Jorginho,2,0,1.5,3.2,18/19
Kepa Arrizabalaga,0,0,0,0,18/19
David Luiz,3,2,2,2,18/19
N'Golo Kanté,4,4,2.4,4,18/19
Antonio Rüdiger,1,0,1.8,0.4,18/19
Eden Hazard,16,15,11.4,9.4,18/19
Marcos Alonso,2,4,2.7,3.5,18/19
Willian,3,6,4.8,5.9,18/19
Pedro,8,2,6.5,2.7,18/19
Mateo Kovačić,0,2,1.8,2.4,18/19
Ross Barkley,3,5,3.8,2,18/19
Gonzalo Higuaín,5,0,5.3,1.1,18/19
Álvaro Morata,5,0,6.5,0.2,18/19
Olivier Giroud,2,4,3.6,2.3,18/19
Emerson Palmieri,0,0,0.2,0.6,18/19
Ruben Loftus-Cheek,6,2,2.9,1.5,18/19
Andreas Christensen,0,0,0,0,18/19
Callum Hudson-Odoi,0,1,0.7,1,18/19
Willy Caballero,0,0,0,0,18/19
Cesc Fàbregas,0,0,0.1,0.3,18/19
Davide Zappacosta,0,0,0.1,0.1,18/19
Victor Moses,0,0,0,0,18/19
Gary Cahill,0,0,0,0,18/19
César Azpilicueta,2,6,2.7,5.8,19/20
Kepa Arrizabalaga,0,0,0,0,19/20
Mason Mount,7,5,7.2,4.6,19/20
Willian,9,7,7.1,6.9,19/20
Jorginho,4,2,3.4,2.3,19/20
Kurt Zouma,0,0,0.8,0.2,19/20
Tammy Abraham,15,3,14.1,2.5,19/20
Mateo Kovačić,1,3,1.4,1.9,19/20
Andreas Christensen,0,0,0.7,1,19/20
N'Golo Kanté,3,0,1.6,2.1,19/20
Christian Pulisic,9,4,8.2,3.5,19/20
Antonio Rüdiger,2,0,0.6,0.3,19/20
Reece James,0,2,0.7,3.2,19/20
Marcos Alonso,4,2,2,2.2,19/20
Fikayo Tomori,1,0,0.6,0.2,19/20
Ross Barkley,1,4,2.2,2.8,19/20
Emerson Palmieri,0,0,1,1.4,19/20
Olivier Giroud,8,0,6.7,1.2,19/20
Pedro,1,1,2.8,0.8,19/20
Callum Hudson-Odoi,1,5,1.7,2.7,19/20
Willy Caballero,0,0,0,0,19/20
Ruben Loftus-Cheek,0,1,0.5,0.3,19/20
Billy Gilmour,0,0,0,0.1,19/20
Michy Batshuayi,1,1,2.2,0.2,19/20
Tariq Lamptey,0,0,0,0.1,19/20
Faustino Anjorin,0,0,0,0,19/20
Armando Broja,0,0,0,0,19/20
Mason Mount,6,5,6.8,7.8,20/21
Edouard Mendy,0,0,0,0,20/21
Timo Werner,6,8,11.9,6.1,20/21
Ben Chilwell,3,5,2.4,2.8,20/21
Reece James,1,2,1.6,3,20/21
César Azpilicueta,1,2,0.8,2.6,20/21
N'Golo Kanté,0,2,0.9,1.1,20/21
Jorginho,7,1,7,2.1,20/21
Thiago Silva,2,0,1.1,0.3,20/21
Kurt Zouma,5,0,1.8,0,20/21
Mateo Kovačić,0,1,1,1.8,20/21
Antonio Rüdiger,1,0,1.1,0.3,20/21
Christian Pulisic,4,2,5.4,2.8,20/21
Kai Havertz,4,3,6.3,1.6,20/21
Andreas Christensen,0,0,0.1,0.4,20/21
Hakim Ziyech,2,3,1.9,3.7,20/21
Tammy Abraham,6,1,6.4,0.9,20/21
Marcos Alonso,2,0,1.7,1.1,20/21
Callum Hudson-Odoi,2,3,1.4,3.1,20/21
Olivier Giroud,4,0,4.8,0.7,20/21
Kepa Arrizabalaga,0,0,0,0,20/21
Billy Gilmour,0,0,0,0.1,20/21
Willy Caballero,0,0,0,0,20/21
Ruben Loftus-Cheek,0,0,0,0,20/21
Emerson Palmieri,0,0,0,0,20/21
Fikayo Tomori,0,0,0,0,20/21
Ross Barkley,0,0,0,0.1,20/21
Mohamed Salah,32,10,24.4,9.1,17/18
